start,index,end
visiting the,X-Men’s,"mansion home, Dukes"
X-Men from,Dukes’,"mind, but Dukes"
as the,Blob’s,knowledge of the
he accepted,Magneto’s,"offer, joining the"
commands from,Xavier’s,"enemy Lucifer, the"
by Larry,Trask’s,"giant robotic Sentinels,"
power dubbed,“Alpha,"the Ultimate Mutant,”"
the Ultimate,"Mutant,”",but they were
the alien,"Shi’ar,",Dukes and the
during the,heroes’,“Defender for a
the heroes’,“Defender,for a Day”
for a,Day”,"recruitment drive, but"
the X-Men.,Mystique’s,Brotherhood next attacked
subsequently witnessed,Unus’,"apparent death, which"
"X-Factor, Freedom",Force’s,replacement as the
as the,government’s,"sanctioned mutant team,"
to the,“favor,"trader” Sledge, who"
the “favor,trader”,"Sledge, who in"
Believing that,“truth”,lay in opposing
the Scarlet,Witch’s,"reality warp, Dukes"
"capture, the",X-Men’s,Meanstreak and Krystalin
place in,Xi’an’s,new group. But
"gathering, believing",Xi’an,to be responsible
name in,Synge’s,"murder. Later, the"
Theatre of,Pain’s,La Lunatica kidnapped
Thirteen when,Bloodhawk’s,weakened state kept
X-Men find,Meanstreak’s,"friend, Jordan Boone."
his friend,Boone’s,help. Bloodhawk assisted
before the,2099’s,"Spider-Man, Punisher, Doom,"
friend of,"Bloodhawk’s,","Carson Leibowitz, called"
"armor, Bloodhawk",didn’t,recognize him and
tribe and,Alchemax’s,mercenaries. Bloodhawk lashed
questioned by,"D’Argent,",the head of
and attacked,D’Argent.,But the drugs
for the,Theatre’s,"victims, and fought"
members of,Zhao’s,third incarnation of
the 20th,Century’s,Archangel. With the
the mutant,Sham’s,"help, Bloodhawk was"
amphitheater where,"Xi’an,","as Controller X,"
Vulcann and,Rosa’s,"child, hyper-aged to"
Metalhead on,Vulcann’s,"back, and Metalhead"
from the,Atlantean’s,ship to drag
drag his,godson’s,captor under the
thereafter. When,killers’,seeking Whitman’s mystical
killers’ seeking,Whitman’s,mystical Ebony Blade
After slaying,Bentley’s,"attackers, battling the"
Blade. The,Blade’s,bloodlust diminished somewhat
falling under,Morgan’s,influence himself. The
Avengers retrieved,Dolan’s,"original Ebony Blade,"
to severe,Dolan’,link to the
the Beyond,Corporation©),formed the team.
the Beyond,Corporation©.,They found the
found the,corporation’s,"marketing plan, which"
each other,–,each one out
"mercenary career,",it’s,been suggested that
him and,Bullseye’s,weapon failed to
and defeated,Daredevil’s,attempt to stop
in the,Kingpin’s,"employ however, he"
from Saint,Maggie’s,Church. During the
of the,Fa�ade,Virus to transform
the JLA,–,"Atom (Ray Palmer),"
stories about,“the,"Oracle”, an information"
about “the,"Oracle”,",an information source
arriving at,Brittan’s,last line of
Leonard Snart,wasn’t,the smartest person
meets The,"Führer,",a character based
Traveler requested,Coffin’s,aid against the
to turn,Earth’s,sun into a
to be,Ann’s,own husband. The
merging with,Earth-616’s,dimension caused by
Strange found,Wayfinder’s,"tomb, and the"
Captain Universe.,Banner’s,"other self, the"
Earth. The,Uni-Power’s,next known recipient
due to,Loki’s,so called “Acts
so called,“Acts,"of Vengeance!” conspiracy,"
“Acts of,Vengeance!”,"conspiracy, in which"
Captain Universe.,Peter’s,tenure as Captain
“Acts of,Vengeance”,returned for rematches;
Badoon named,L’Matto,into Captain Universe
Guardians. The,Guardians’,absent leader Major
to reverse,Fieldston’s,powers so that
one of,Simmons’,fellow officers was
agent killed,Wiles’,"business partner, David"
help clear,Gilbert’s,"name, the Uni-Power"
Uni-Power enhanced,Daredevil’s,superhuman senses to
to study,A.I.M.’s,findings on its
of the,Shi’ar,"Imperial Guard, who"
to the,Shi’are,"empire, Gladiator and"
Gladiator and,Krosakis’,"other slaves, the"
as the,Manadrin’s,"Avatars, and the"
for. It,wasn’t,"long, however, that"
scoundrel from,Century’s,past returned to
of the,Broker’s,slaves which earned
goal of,Imogen’s,interest in Century
the evil,Cybermancer’s,"time line. Ultimately,"
"2099, when",Xi’an,Chi Xan enticed
Fitzgerald to,Xi’an’s,"gathering, Cerebra took"
assassin of,"Xi’an,",and then attacked
"founder, Noah","Synge’s,",murder. With Xi’an
and revived,Xi’an.,Cerebra stayed behind
Pain and,Alchemax’s,"Valhalla, with its"
Cerebra faced,Zhao’s,"X-Men, known as"
to Broken,Haiku’s,bar for information.
"Floodgate, the",Theatre’s,gathering place for
for the,Floodgate’s,assistance. But the
and only,Junkpile’s,"appearance, as a"
by the,Graverobber’s,Undead. Along with
"Zail Hadded,",Cerebra’s,"father, the infamous"
with her,father’s,"experiments, she refused"
for the,city’s,safety. But Somers
They found,Doom’s,teleporter in the
Vulcann and,Metalhead’s,"godson, hyper-aged to"
from the,ship’s,mast they were
Metalhead onto,Vulcann’s,"back, and Metalhead"
and her,protégé,"Nostromo, headed out"
also crippled,Gayle’s,legs. Jono survived
into a,“chamber”,of volatile energy.
arrival of,Chamber’s,new teammates and
in the,Academy’s,"basement, remaining apart"
destroyed the,girls’,dormitory in a
Jono while,Emplate’s,"other recruits, whom"
from the,X-Men’s,Bishop. Emplate ultimately
"defeated Onslaught,",Jono’s,"focus returned, and"
to her,family’s,farm for a
with the,pair’s,romance breaking down.
imprisoned by,Banshee’s,cousin Black Tom
doubt on,Glorian’s,"interpretations, the effects"
to enhance,Spider-Man’s,precognitive “spider-sense” to
Spider-Man’s precognitive,“spider-sense”,to prevent Love
Nap; and,Emma’s,"former business rival,"
the vampire,lord’s,influence. After the
opposing Warden,Coffin’s,House of Correction.
forcing the,school’s,closure. Jono had
Jono reconsidered,Xavier’s,offer and joined
best. At,Cyclops’s,"request, Chamber enrolled"
Empire State,University’s,pro-mutant program to
of the,group’s,"leader, Gigi Martin,"
furthering her,organization’s,cause. Though ESU
seemingly solidifying,Jackson’s,trust in him.
down Weapon,X’s,secret mutant concentration
concentration camp,“Neverland.”,Chamber seemingly resurfaced
capturing the,Pride’s,"runaway children. Recently,"
by Tony,Stark�s,munitions factory and
Parker and,Stacy�s,daughter Gwen were
Ravencroft. In,Chameleon�s,twisted mind he
Hunter. This,didn�t,stop him from
joining Norman,Osborn�s,"Sinister Twelve, however."
after the,“Big,"Bang”, the cataclysmic"
the “Big,"Bang”,",the cataclysmic event
by Factor,Three’s,"leader, the Mutant"
the alien,Z’nox.,While using his
to the,X-Humed’s,activities. After the
guarded secret,–,that she was
a cheetah.,Priscilla’s,second persona urged
for Wonder,Woman’s,"bail, and left"
When the,naïve,Tandy accepted an
from the,�doom,"of Old Russia�,"
of Old,"Russia�,",Grigori Rasputin. It
Cosmo gained,Nova’s,"trust and friendship,"
who accepted,Brock’s,"services, codenaming him"
world from,Apocalypse’s,clutches. X-Factor disbanded
the Clan,Askani’s,matriarch. Arriving in
as Daken,"(駄犬,","""bastard dog""), a"
Sa-her (Arabic:,الساحر;,for The Magician).
Ghul (Arabic:,رأس,الغول‎; for Demon's
(Arabic: رأس,الغول‎;,for Demon's Head).
"his wife,",Ruvé,Adams leading him
Petrovna (Russian:,Ланья,"Сергеевна Петровна (Крылова)),"
(Russian: Ланья,Сергеевна,"Петровна (Крылова)), known"
Ланья Сергеевна,Петровна,"(Крылова)), known as"
Сергеевна Петровна,"(Крылова)),",known as Darkstar
Darkstar (Russian:,Тёмная,"Звезда), was part"
(Russian: Тёмная,"Звезда),",was part of
honor at,Père,Lachaise Cemetery in
with his,mentorís,"daughter, Sazae. When"
had fled.,Wilsonís,employers sought vengeance
in Department,Kís,branch of the
"government, the",Hospiceís,patients served as
friend. At,Deathís,"prompting, Wilson killed"
his home.,Alís,attempts to escape
Sasquatch of,Canadaís,super-team Alpha Flight.
as the,Kingpinís,"assassin, only to"
time in,Tolliverís,"service, Deadpool was"
left behind.,Deadpoolís,participation in the
that he,wouldnít,kill him for
themselves battling,Vessí,vengeful kinsmen after
in Cassera's,fatherís,"death, and blew"
by Weapon,Xís,upgrade to his
found the,organizationís,methods to be
but the,Swanís,telepathic power caused
way to,Sandiís,apartment. Sandi believed
the shape-shifting,"""FaÁade","Virus"" upon the"
of the,FaÁade,Virus in his
to the,Penetraitorís.,They activated the
is the,“man,who never misses”
who never,misses”,- an assassin
"his parents,",Floyd’s,sister was also
"hire. However,",Deadshot’s,public origin story
is the,DCU’s,"greatest marksman, boasting"
him. He,didn’t,even fix the
the Suicide,Squad’s,"last mission, Deadshot"
to await,Vertigo’s,"decision. He declined,"
was under,Neron’s,"influence, he tried"
have his,daughter’s,neighborhood blown up
"series, and",Deadshot’s,status remained unchanged.
as Daken,"(駄犬,","""mongrel""), a slur"
out of,Bl�dhaven.,The deal held
"chemicals, on","Bl�dhaven,",killing thousands. Slade
seal the,planetís,fate. If humanity
use the,hunterís,life essence to
affected by,Odinís,magic that anyone
anyone unworthy,canít,use it as
as with,Thorís,"hammer, Mjolnir, and"
leaves the,possessorís,body in a
if the,personís,essence is put
In Buck,Franklinís,"case, Franklin and"
with the,Destroyerís.,Thor and the
Odin located,Lokiís,body and forced
suppress the,Destroyerís,"consciousness. Eventually, the"
Asgardians (except,Thorís),life essences into
known as,“Bobo,the Detective Chimp.”
the Detective,Chimp.”,He was essentially
"rogue. Unfortunately,",Batman’s,fears would become
by the,doppelgänger,he named Double
mystery men,–,the Justice Society
"Psychic"" or",“Rose,Spiritus”. On the
or “Rose,Spiritus”.,On the same
during the,latter’s,first year as
only mystic,I’ve,ever felt comfortable
"with"". Among",Occult’s,(and Rose's) closest
to even,Strange’s,first encounter with
Imp and,KhLΘG.,Strange also fought
the name,“Stephen,Strange” to “Stephen
name “Stephen,Strange”,to “Stephen Sanders.”
to “Stephen,Sanders.”,Strange next resisted
heroes from,Wanda’s,power and went
entered the,Hulk’s,"mind, reminding them"
to destroy,Nightmare’s,beasts. A Doctor
her power,–,which she described
spy on,Cable’s,activities. Domino was
tube to,Calaton—the,first world where
was successfully,defeated—and,"sent Doomsday through,"
knowing this,—,having been filled
the Dark,Dimension’s,multi-species society had
proclaimed regents;,Olnar’s,"infant son Orini,"
known of,Dormammu’s,"early rule, and"
not match,Earth’s,"anyway, it is"
himself that,universe’s,first Sorcerer Supreme
the Dread,One’s,"service. Finally, prompted"
sacrifice of,Mordo’s,own mother and
catspaw. But,Strange’s,"opposition intrigued Dormammu,"
to his,foe’s,greater familiarity with
in her,brother’s,"absence, to free"
"god Loki,",Odin’s,"foster son, to"
well. Though,Uatu’s,presence in the
and with,Umar’s,"help, he was"
"Sinister, with",Doom’s,pawn Lucius Dilby
absorbed that,era’s,the power of
era’s Mordo.,Krowler’s,Dark Cabal then
possessed the,sorcerer’s,body as he
"sorcerers, including",Agamotto’s,"now-renegade tentacled disciple,"
gloated that,humanity’s,"own evil nature,"
in the,Guardians’,era. The future
"Axis, the",pair’s,power increased to
Immersed in,Eternity’s,"essence, Dormammu re-made"
remained with,him—something,Dawn protested. At
and his,"doppelgängers,",and Drax became
daredevil (Mathew,merdoc’s),boyfriend then later
transfer a,humanoid’s,consciousness into a
Space aboard,Bokk’s,vessel to begin
"Bokk damaged,",Mandeja’s,"android, forcing her"
"to Earth,",Byron’s,homeworld. When Dargin
The X-Men,–,"Colossus, Deadpool, and"
race and,Firestorm’s,role as an
another Wells,doppelgänger,is recruited: the
After New,Year’s,"2000, Wally and"
so he,wouldn’t,"be noticed, Billy"
stop was,Blackwell’s,hotel room; after
in a,sorcerer’s,outfit ambushed him
"were spouting,",Faust’s,spell would go
commanded the,“neon,dragons” to come
the “neon,dragons”,to come to
over the,station’s,"master antenna, temporarily"
from an,“Uncle,Toby”; Linda opened
an “Uncle,Toby”;,"Linda opened it,"
Natural History,Museum’s,latest exhibit. Linda
responds that,he’ll,check on it
if it,wasn’t,from any of
grabbed the,"“gift”,",only to discover
transmission bombarded,Wally’s,"head, the wings"
of his,allies’,names and target
if Wally,didn’t,"intercept in time,"
figure out,Kyle’s,secret identity and
the Emerald,Crusader’s,power battery with
"speed, the",Flash’s,final stop was
followed the,missile’s,contrail back to
to the,"1880’s,",a time both
from the,Turtle’s,throne before increasing
saying that,he‘s,a school teacher
that Wally,shouldn’t,have followed him
commanded his,speedsuit’s,left glove to
his jail,cell’s,"window, he saw"
it said,"“Clariss,”",not “Garrick.” Knocking
"“Clariss,” not",“Garrick.”,Knocking on the
Cold saw,Garrick’s,headstone. Wally learned
the Teen,Titans’,turn. Without Wally
realized they,weren’t,in an alternate
transferred to,Stryker’s,"Island in Metropolis,"
ran into,“Mirror,"Master’s Mirror Maze”,"
into “Mirror,Master’s,"Mirror Maze”, trying"
Master’s Mirror,"Maze”,",trying to outrun
to outrun,Plunder’s,laser bursts. Preparing
"ally, Wildcat",–,a fight that
Force from,Jay’s,body. The intense
to restart,Garrick’s,heart. With the
of the,Thieves’,Guild. Jean-Luc took
"rivals, the",Assassin’s,"Guild, a marriage"
"Citadel, despite",Harrald’s,protests. The Elders
of the,Shi’ar,"Empire, Empress Lilandra"
ceremonial words,“Arin’nn,"Haelar"", challenging Lilandra"
in the,Avengers’s,"cases, such as"
to thwart,Whirlwind’s,attempt to kill
Factory beneath,Blüdhaven,where he is
themselves the,Brujería,attempted to conduct
for Peter,—,falling increasingly under
find that,Alex’s,potential possibly exceeded
an entire,crèche,of mutant hosts.
The demon,S’ym,offered to help
Wolverine kept,Scarlett’s,"betrayal secret, as"
by Madelyne.,Malice’s,hold over Polaris
Madrox. Mourning,Jamie’s,"death, he decided"
Asgard before,Ragnarök.,He then joined
work. Dorothy,Walker’s,greatest success was
about her,mother’s,fictionalized exploitation of
"on Titan,",Hellcat’s,minor psionic potential
"""Thunderbolt"" Ross",�,Bruce's one-time benefactor
son �,Skaar�s,"twin brother, Hiro-Kala,"
the planet,K�ai,in tow. The
both. While,Hulk�s,allies dealt with
dealt with,Hiro-Kala�s,"forces, Hulk confronted"
fought at,Abomination�s,"side, possessed by"
"Marlo Chandler,",A-Bomb�s,ex-wife and the
and even,Banner�s,mother stood by
but one,parent�s,return signaled the
the Chaos,King�s,forces would overwhelm
to her,fiancé,"Michael Staton, wanting"
were young,Tommy’s,grudge against the
against the,Wayne’s,and become Hush.
Mutantes Sans,Frontières.,Setting up office
the symbiotes,didn’t,deserve all of
brother Derek,doesn’t,stray into running
breaking the,guy’s,arm. The thug
saying that,he’d,get his revenge.
Scott now,wasn’t,the same kind
the gang,member’s,gunfire. Scott attempted
did put,Scott’s,blueprints to use.
after his,brother’s,murderer. He found
was Dwight:,Derek’s,best friend. He
of their,community’s,problems was the
they just,can’t,"deal with. Dwight,"
weirdness her,lover�s,life brought with
mighty hammer,Mjölnir,were forged -
his then,fiancé.,Together they attended
technology killed,Yinsen’s,"wife. In revenge,"
frankly he,didn’t,share the same
stream. The,Avengers’,next dire mission
if he,couldn’t,do anything about
which he,wasn’t.,"Meanwhile, Stark Resilient"
there really,wasn’t,a bomb to
the drug,�Kick�.,The villain John
McCoy through,�Kick�,and he is
into the,�White,Room� with all
the �White,Room�,with all the
accept Emma,Frost�s,offer and affections.
members of,S.H.I.E.L.D.’s,"research division, along"
in a,ménage,a trois with
the river,"Tefé,",where John explained
foiled by,Selina’s,"intervention, and Jeremiah"
"succeeds, leaving",Gotham’s,river polluted with
one of,America’s,best lawyers until
"his power,",Josiah’s,interest lies not
in the,Company’s,"missions, but has"
,﻿Juggernaut,was recruited into
of the,original’s,powers and Black
Rogue leeched-off,Cassidy’s,"Juggernaut powers and,"
"fact, an",‘Earth,One’ alternate of
an ‘Earth,One’,alternate of Ms
ex-member of,Xi’an,Chi Xan’s Lawless
Xi’an Chi,Xan’s,"Lawless in 2099,"
to raid,Xi’an’s,gathering and kill
an injured,Xi’an.,As Junkpile had
"head, Serpentina",wasn’t,strong enough to
Timothy Fitzgerald,couldn’t,use his powers
headquarters with,"Xi’an,",Junkpile later stopped
killing the,corporation’s,"new head, Lytton"
if Xi’an,didn’t,"kill him, he"
"Desdemona Synge,",Lytton’s,"sister, sold Junkpile"
"Pain, hijacked",Junkpile’s,truck and freed
from the,Theatre’s,"trackers, as well."
pulled the,Driver’s,"database apart, killing"
agreed to,Brimstone’s,offer to join
for the,X-Men’s,Cerebra to slip
Victor Timely's,fiancée,Rebecca Tourmenet for
Diamondhead. However,there’s,"a down side,"
that he,wasn’t,"worth his time,"
ten of,Ben’s,aliens from the
of the,"Tennyson’s,",helping them find
with her,–,"and in turn,"
late Earth-1,doppelgänger.,
Iron Man,—,consideration on his
Kravinoff family.,Kraven’s,"former lover, Calypso"
and a,ladies’,"man. As ""Al"","
the Strong,(Älgrim,in Shiväisith) was
(Älgrim in,Shiväisith),was a lieutenant
especially when,he’s,given words to
were holding,Jessán,Hoan as a
of the,four’s,powers. Then Paibok
and studied,Alicia’s,"face, mannerisms, and"
her love.,Lyja’s,plans were in
to destroy,Reed’s,Brain Analyzer before
that she,wasn’t,really Alicia. Ben
Lyja donned,Sue’s,original uniform (to
invaded the,Skrulls’,"hidden base, Lyja"
beam at,Johnny’s,"back, Lyja transformed"
of the,Richards’.,Lyja fought the
if she,didn’t,have the Lacaroo
not the,egg’s,"father, but it"
"him, but",couldn’t.,As the egg
was a,"Sha’Barri,",implanted in her
after Mr.,Sinister´s,Marauders began to
the nickname,"“Lance”),",Reid was able
near the,Xavier’s,School for Gifted
from the,Technarchy’s,techno-organic virus: the
in the,Shi’ar,"Empire, by creating"
a massive,“Babel,Spire” on the
massive “Babel,Spire”,on the infected
a bat,–,including elongated ears
Kirk Langstrom's,"fiancée,",Francine Lee. It
used the,church’s,great bell to
"Brandt, a",naïve,and impassioned girl
following his,parents’,"deaths, and as"
the Kuomintang,Party’s,reign over China.
conquering the,valley’s,adjacent villages and
with the,“wisdom,and harmony” of
“wisdom and,harmony”,of his nobleman
the Makluan,rings’,"full power, the"
overwhelm Wong,Chu’s,forces using his
by Doctor,Doom’s,"Emotion Charger, the"
the Fantastic,Four’s,"Richards-Storm wedding; later,"
for the,behemoth’s,"attacks, but his"
to abduct,Stark’s,lover Janice Cord
touched by,Cord’s,love for Stark
by the,Mandarin’s,"cruelty, sacrificed her"
even with,Ultimo’s,"aid, regaining his"
the Yellow,Claw’s,"robot surrogate, the"
remade Loc,Do’s,body into a
to obtain,Wakanda’s,Vibranium via the
to destroy,China’s,"rice crops, intended"
Iron Man,(Stark’s,temporary replacement Jim
with his,opponent’s,criminal network. Soon
the so-called,“Acts,of Vengeance” anti-superhero
“Acts of,Vengeance”,"anti-superhero conspiracy, then"
by Nick,Fury’s,intervention. Eventually recognizing
recognizing Chen,Hsu’s,"theft, the Mandarin"
his own,armor’s,power through the
nullifying his,Heart’s,mystic bond and
following the,hero’s,revival from the
Dragon of,Heaven’s,"power source, toppling"
of which,–,Gambit and Jean
in the,school’s,bathroom. He was
With his,parents’,"blessing, Chris went"
"near-fever pitch,",Chris’,parents were forced
ever need,Maverick’s,help in the
he chose,“Bolt.”,On a subsequent
visit to,Keller’s,"clinic, Chris learned"
one of,Lobo’s,"Boys, instead of"
investigating the,gang’s,"arms supplier, Harvey"
of Heavy,Mettle’s,"employer, Silvermane. The"
in the,“contest,of champions” held
“contest of,champions”,held by the
for his,father’s,death and was
Biohazard. After,Biohazard’s,"defeat, Namorita learned"
Chris as,"“Bulk,”",much to his
among the,world’s,mutants who were
the High,Evolutionary’s,"machinations, regaining them"
helping the,Warriors’,former leader Night
released into,Earth’s,atmosphere by the
their would-be,"“warden,”","Ronan the Accuser,"
of Weapon,X’s,plans. The Underground
never knowing,Zero’s,"true identity. Recently,"
and the,fiancée,of the hero
on Earth,—,including Jace! Jace
credo is:,“Who,runs the universe
my prime,objective!”,The mysteries of
subject to,Darkseid’s,tyrannical rule. This
by the,"“X-Element,”",a strange material
New Genesis.,Metron’s,curiosity superseded any
as the,“Boom,Tube” as an
the “Boom,Tube”,as an act
portion of,its’,energy into Earth’s
energy into,Earth’s,"dimension, and it"
the New,God’s,and Darkseid’s forces
He sensed,Brainiac’s,"presence, and the"
and the,madman’s,plan to invade
sign of,emotion…anger.,Metron assisted in
missing teammates,–,Raven. Megan admitted
Essex into,"“Sinister”,",the last word
"abilities, within",Sinister’s,own body. By
during the,2015–17,"All-New, All-Different Marvel"
spilled over,Raxton�s,body and was
became the,world’s,foremost independent weapons
manufacturer. When,Magnum’s,Deterrence Research Corporation
to tap,Earth’s,core’s potential energy.
tap Earth’s,core’s,potential energy. His
her by,Sheridan’s,"grandmother, whose grandson"
a massive,“Terrordome”,weapons platform to
to ensure,Canaan’s,economic independence by
"Wakanda, but",Wakanda’s,"king, the Black"
invasion with,Deathlok’s,aid. For his
"Sheila DeSoto,",fiancée,of multi-millionaire industrialist
after death,Beck’s,soul didn’t get
Beck’s soul,didn’t,get to rest.
upon the,boy’s,morality. Upon moving
always punished.,Hollis’,sense of justice
calling him,“Nite-Owl”.,Mason decided that
"War II,",Mason’s,occupation as a
and vice,–,which often left
"Unfortunately, Doctor",Manhattan’s,ability to synthesize
pleasant than,he’d,hoped. Shortly after
Impressed by,Dreiberg’s,"zeal, as well"
and Dave,Gibbons’,landmark Watchmen graphic
City. Height:,6’,Weight: 180lbs. Eyes:
physical shape.,He’s,also a good
heard that,“Nite-Owl”,was responsible for
the late,Ruvé,Adams. She was
Machin murdering,Ruvé.,Nora was rescued
Jean-Paul,Beaubier’s,parents were killed
a catholic,girl’s,school. When Jean-Paul
Front de,Libération,du Québec movement.
Libération du,Québec,movement. Becoming part
of the,Front’s,"radical Cell Combattre,"
with the,Cell’s,terrorist methods after
the Canadian,government’s,Department H had
Flight. The,team’s,"founder, James Hudson,"
already recruited,Jean-Paul’s,"sister as Aurora,"
her. The,twin’s,reunion came as
argued over,Northstar’s,mistaken assumption that
at her,brother’s,"arrogance, Aurora angrily"
result of,Aurora’s,"altered powers, they"
indiscretions by,Canada’s,Prime Minister. Shortly
dispatched Department,K’s,Weapon P.R.I.M.E. unit
"his autobiography,",“Born,Normal.” At a
"autobiography, “Born",Normal.”,At a book
into leading,Hydra’s,super-powered army in
seriously injuring,S.H.I.E.L.D.’s,leader Nick Fury.
Raatko (Arabic:,نيسا,رعتكو‎) (born May
(Arabic: نيسا,رعتكو‎),"(born May 10,"
(Arabic: نيسا,"الغول),",is a former
after Sara,Lance’s,"resurrection, she destroyed"
retrieve the,trident’s,"coordinates. Meanwhile, Orm"
control Omega,Red’s,"mutant power, and"
"their leader,",Matsu’o,"Tsurayaba, in exchange"
defeated by,Wolverine’s,teammates in the
until the,telepath’s,death. Omega Red
of New,York’s,Red Mafia. In
information on,Sabretooth’s,"whereabouts, thus exacting"
to fuel,Onslaught’s,plans to transform
the night,�,the Batman. Barbara
destruction of,Bl�dhaven,"by The Society,"
as vigilantism.,Robbie’s,"parents got divorced,"
visions of,Speedball’s,"death, she and"
saw the,producers’,unique take on
Torch destroyed,Plantman’s,"ray gun, Smithers"
to a,”tuning,"fork,” a device"
a ”tuning,"fork,”",a device controlled
battle the,Shi’ar,Imperial Guard. After
attempted to,“rescue”,Rogue from the
this journey,—,but he was
"(April 21,",1986–May,"17, 2017), better"
They are,Thanos’,"underlings, who scout"
known about,Proxima’s,origins in terms
"revenge, ripping",Fantomex’s,skin off. Psylocke
drug dealer,–,the diva of
Taken with,Melanie’s,"beauty, on a"
the Purple,Man’s.,Melanie then told
to resist,Killgrave’s,power. Killgrave was
the Purple,Man’s,plan to create
Pyro. The,Brotherhood’s,first public appearance
the mutant,“leper,colony” for Virus
mutant “leper,colony”,for Virus sufferers
"Ghul"" (Arabic:",رأس,الغول Raʾs al-Ġūl;
(Arabic: رأس,الغول,Raʾs al-Ġūl; for
رأس الغول,Raʾs,al-Ġūl; for Demon's
الغول Raʾs,al-Ġūl;,for Demon's Head)
Head) (before,1854—May,"13, 2015) was"
,Ra’s,al Ghul was
was dying,(Ra’s,did not know
with his,wife’s,corpse. Ra’s was
himself the,“Demon's,Head”. Ra’s also
the “Demon's,Head”.,Ra’s also has
the world.,"Ra’s,","his uncle, and"
Talia disliked,Bane’s,brutish criminal personality.
he discovered,Batman’s,notes on how
learns that,Trigon’s,intention is to
