hist_text_classic,true_label,predicted_label,result,n_words
"Early Life N'Jadaka's father was pressed into working for the villain Klaw. After Klaw fled the country N'Jadaka's family was exiled by T'Challa, the king of Wakanda. He ended up in Harlem, New York, where he developed a hatred of both Klaw and the Wakandan king. N'Jadaka changed his name to Erik Killmonger, and dedicated his life to avenging his father's death. He believed that weakness on T'Chaka's part was a key factor in allowing his parents to be killed. N'jadaka became educated in the United States, gaining a PhD in Engineering and an MBA at M.I.T. Return to Wakanda He contacted T'Challa who repatriated Killmonger to Wakanda. He feigned trying to make up with the king. Killmonger settled in a village that would later change its name to N'Jadaka Village in honor of him. Killmonger dedicated his time to the overthrow of T'Challa's government. Killmonger had ravaged several villages to attract the Black Panther's attention. When confronted by T'Challa, Killmonger dismissed the African Prince, having T'Challa fight with his leopard Preyy. When T'Challa stopped the leopard by snapping its jaw, Killmonger attacked, throwing him over a waterfall. T'Challa survived the fall but now had to battle Killmonger and Venomm. Killmonger teamed up with Sombre and King Cadaver to battle T'Challa. They would force him to fight a White Gorilla. However during the fight T'Challa was able to kill Sombre. With the death of Sombre Killmonger teamed up with Salamander K'Ruel. However during the fight it appeared that T'Challa killed Killmonger. Iron Man The Mandarin claimed Killmonger's body and was able to restore him to life using his rings. In Wakanda, a warehouse containing Stark Industries energy hologram crystallography equipment was destroyed. When Tony Stark arrived in Wakanda to investigate, Madame Slay kidnapped Rhodey and Killmonger's men apparently killed the Black Panther. In reality, however, Killmonger had actually killed an LMD. At the Black Panther's ""funeral"" Killmonger appeared, taking the Black Panther mantle for himself. Iron Man and Black Panther proceeded with their plan, now that the Life-Model Decoy had drawn out the villain. They sneaked back into T'Challa's palace just after Madame Slay informed Wakanda of Killmonger's return from death. A battle ensued and as the heroes gained the upper hand Madame Slay revealed she had Rhodey captive. Iron Man used his life sensors to find Rhodey at the Great Mound, where a cyclotron was set up. Pounding the vibranium with gigawatt baryon beams, turning it into anti-metal, which would dissolve all metal in Europe, Asia, Africa and potentially beyond. Iron Man disabled the machine and saved Rhodey. Black Panther defeated Killmonger and the Mandarin recalled his ring, and Killmonger reverted to an inanimate skeleton.",Marvel Comics,Marvel Comics,Correct,446
"Vic Stone was the son of a pair of scientists who decided to use him as a test subject for various intelligence enhancement projects. However, Victor grew to resent this treatment and fell in with a young miscreant named Ron Evers who led him into trouble with the law. This was the beginning of a struggle where Victor strove for his own life engaging in pursuits his parents disapproved of such as athletics. In addition, Victor still kept bad company that led him into incidents such as when he was talked into participating in a street gang fight in which he was wounded. For the most part however, Victor still had a largely normal life under the circumstances where he also refused to follow his best friend's grandiose plans of racially motivated terrorism.  All that changed one day when he visited his parents at work at S.T.A.R. Labs. Coincidentally, an experiment in dimensional travel went horribly awry when a massive gelatinous monster crossed over an experimental portal and killed Victor's mother. The creature then turned on Victor and severely mutilated him before his father managed to force the creature back through the portal. To save his son, Victor's father outfitted him with experimental prostheses of his own design. However, the equipment could not be worn inconspicously, and thus Victor was horrified to see much of his body, including part of his face, replaced with sheer metallic limbs and implants. Although Victor wanted to die at this shock, he adjusted enough through his resulting physical therapy to control his implants with suitable skill.  Upon release from medical care, he found his life was seriously inconvenienced with the fearful reactions of the public at his implants; even his girlfriend rejected him. In addition, he was also disallowed his participation in athletics not only for his implants but for his poor grades which were further exacerbated by his long convalescence. However, when his old friend attempted to use Victor's troubles to manipulate him into attempting a terrorist attack on the United Nations, Victor found a new purpose as he equipped his weapons attachments and stopped his friend in a pitched battle on the UN building.   He joined the Teen Titans, initially for the benefit of a support group of kindred spirits and freaks and has remained with that group ever since. In addition, Victor found new friends who saw past his disfigurements to his own nobility such as a group of children who were adjusting to their own prostheses and idolized Victor with his fancy parts and exciting adventures as well as their beautiful therapist who took a shine to him herself.",DC Comics,DC Comics,Correct,439
"This version of the Hulk also found himself allied with Apocalypse (En Sabah Nur), who made Hulk into War: one of his Four Horsemen. This only lasted until War injured Rick Jones, and Hulk's guilt rejected Apocalypse's programming. Devastating Loss The surly version of the Hulk remained in this state, never changing until much later when the two Hulk fragments re-merged, and Banner and Hulk split their time and existence. The Maestro returned after absorbing enough radiation to re-form his body after suffering a previous defeat from Hulk, but was beaten again. He reestablished a connection to his wife, Betty, but was left a broken man after her death due to radiation poisoning. Banner blamed himself, believing it was Betty's prolonged exposure to him that caused her death, but he discovered the Abomination had injected her with his radioactive blood. Hulk would later bludgeon his archenemy into a bloody pulp, nearly killing him. Planet Hulk After the events of the M-Day, Banner sought refuge and peace in Alaska, where he lived as a hermit loosely connected to the town community. He was eventually tracked down by Nick Fury of S.H.I.E.L.D., who required his help in defeating the Hydra space weapon called the Godseye which could detonate all the nuclear bombs in the world. Sent up as the Hulk, he discovered that the Godseye was actually a rogue S.H.I.E.L.D. weapon that could match the strength of any enemy. In the ensuing battle, the Godseye found that though it could try, it could not match the increasing power of the Hulk, and it exploded. A S.H.I.E.L.D. commissioned space shuttle was sent to retrieve the Hulk, or so he believed. Seizing the opportunity to be rid of the Hulk, a group of superheroes known as the Illuminati decided to jettison the shuttle into space, to a planet with no intelligent life forms. Unfortunately, there was a navigation error, and the Hulk landed on Sakaar, a place full of barbarian tribes, gladiator battles and ruled over by a corrupt empire. The planet was situated near a portal, which gave it access to several different cultures and technologies. The trip made him vulnerable, and it wasn't long before he was subjugated by the Red King. Hulk was forced to fight, but he eventually brought peace to the savage planet.File:Acotilletta2--WWHulk.jpg Hulk was proclaimed the Green King, and all those on Sakaar worshiped him and his Queen, Caiera. She told her king that she would bear him a child, and it seemed that the Hulk's life of running and fighting was over.",Marvel Comics,Marvel Comics,Correct,425
"Nergal was a powerful god-turned demon and one of John Constantine's most dangerous enemies. He was also the father of Rosacarnis and the leader of the Damnation Army. In 1979, Nergal was summoned by Constantine in an attempt to rid the young Astra Logue of the demon Norfulthing. However, John botched the exorcism, causing Nergal to take Astra and damn them both to Hell.",DC Comics,DC Comics,Correct,64
"Monet St. Croix is the sister of Marius, Claudette, and Nicole St. Croix. When her brother Marius, who would later become the mutant Emplate, first manifests his powers, the conceited Monet often verbally abused him. An enraged Emplate transforms her body into a hardened, spiked, red state and left her mute. He then tells her to ""consider this your penance."" Claudette and Nicole, realizing how dangerous their brother is becoming, banish him to his own pocket dimension, but he manages to bring Monet with him, who takes the name Penance. Nicole and Claudette, knowing Monet was their parents' favorite, decide to merge into one body with the appearance of Monet.  Shortly after the formation of the mutant teen team Generation X, Penance is dropped onto the front lawn of the Massachusetts Academy by Gateway, who reveals her identity as Penance. She is brought inside by headmaster Banshee, who discovers her powers as he cuts his hands by trying to pick her up. As Penance cannot speak, understand English (apparently), and with an immunity to telepath, Banshee places her in the infirmary as Banshee and Emma Frost attempt to discover her identity. Teen member M, her relation to Penance unknown, tells the adults that Penance was perhaps a prisoner of Emplate, a parasitic mutant who fed upon other mutants who the group had encountered previously.  As the team leaves, Penance awakens with one thought on her mind: survival. Tearing apart her (in her mind) cell and escaping, she was free. Hearing the alarms of a breach, the team rushes to the infirmary and stares at the extensive damage she caused during her escape. The team splits up to find her before she can cause further damage to the Academy. Team member Chamber , feeling a kindred spirit due to his own mutilated body, leaves the group to search for her alone. Feeling that another deformed soul would seek him out, he waited for her arrival. After Penance fights her way past the rest of the team (Husk, Synch, Jubilee, and M), she approaches Chamber, who talks telepathically to her in an attempt to convince her that he knows how she feels and eventually calms the girl down into staying with the team.  During her stay at the Academy, she would rarely interact with her peers, due to her animalistic nature and fright of being captured again. Fortunately, perhaps due to her time with the feral mutant Wolverine, Jubilee becomes a friend to her. Trusting her friends more, Penance begins to go on missions with the others, and in in Generation X #8.",Marvel Comics,Marvel Comics,Correct,431
"By channeling positive energy, Blackwulf was able to slice the Godstalker into ribbons, but even then it still existed. However, the Godstalker now believed Lucian's claim of being Tantalus' son, and decreed that it would be his duty to destroy Tantalus. So saying, the Godstalker bonded to the Shadowlance, making it even more powerful. However, as a result of this bonding process, Blackwulf was cured of his Black Legacy, removing his birthmark.   Lucian learned from S.H.I.E.L.D. databases held by the Underground Legion that Deathlok, a cyborg from an alternate reality, came from a world in which Pelops was still alive, and Tantalus had converted to the side of good. Lucian determined to seek Deathlok out to learn more about his reality.   Just as Lucian caught up with Deathlok in a series of underground tunnels where he was assisted homeless people against the Sewer King alongside Daredevil, Lucian put aside his questions to aid the homeless from bombs planted down there by Walter Jenkins. Lucian saved Deathlok from being slain by one of the bombs, which annoyed the cyborg. Finally able to ask him his questions, Lucian was told by Manning that nothing he could tell Lucian would change a thing in his world, because their fates had already been sealed. Lucian asked Deathlok to join the Underground Legion, but Deathlok replied that he had to sort himself out first before he could be of use to anyone.   Apparently brought to Armechadon by Khult, Blackwulf joined the Underground in battling Tantalus and his Peacekeepers, and found himself reunited with his mother, Nirvana. Wishing to end her suffering, no matter the cost to himself, Blackwulf absorbed the Black Legacy which surrounded her into himself, regaining his birthmark but setting her life free. Blackwulf then attacked his father, and recalling instructions from Khult, focused on positive energies. Blackwulf absorbed his father's Black Legacy into himself, with the result of temporarily displacing his father's ego. However, as a result, Lucian was transformed so that now his skin was ebon black.",Marvel Comics,Marvel Comics,Correct,336
"Arsenal later came into conflict with Vandal Savage. Savage had discovered that both Roy Harper and his daughter Lian were his descendants, and thus, their organs were suitable for him to harvest to prolong his life.  Arsenal was able to save his daughter from Savage. After this ordeal, he adopted a new look to reflect his Navajo heritage. Shortly after, the original five Titans decided to form yet another incarnation of the team. Arsenal served as a full-time member on the team, and chose to reside at the new Titans Tower with his daughter, Lian. He hired Rose Wilson to be Lian's nanny, and also attempted an adult relationship with Donna Troy, but broke it off when it became clear that Troy was dealing with an identity crisis of her own. Arsenal, who by that point had established a reputation as something of a ""ladies' man,"" went back to his philandering ways.  At roughly the same time, Oliver Queen reappeared, having been resurrected earlier by Hal Jordan (in his identity of Parallax). After Queen sorted out his own issues, he and Harper's relationship resumed. When a mysterious conglomerate known as Optitron offered to sponsor the Titans and Young Justice, members of both teams encountered a cybernetic girl from the future (known as Indigo) at their complex. The android attacked both teams and disabled nearly half of the group. Those members who could teamed up to track down Indigo, but instead encountered a rogue Superman robot that Indigo had somehow reactivated. The Superman robot made quick work of Lilith, killing her by snapping her neck, and then killed Donna Troy with a heat vision blast to her chest. Though Indigo returned to shut down the Superman Android, the rest of the Titans and Young Justice were left to mourn their fallen friends. Once again, the Titans were parted ways.  Arsenal took this opportunity to accept Optitron's offer and formed a new team: the Outsiders. Harper conceived the team as professional and proactive, with none of the ""family"" connections that seemed to doom various incarnations of the Titans. He began by buying a massive secret underground headquarters beneath New York City. Roy outfitted the shelter with state-of-the-art equipment and began recruiting members for the new team. He successfully coaxed the veteran Metamorpho, as well as Grace (a superhuman bouncer whom Harper had a physical relationship with) and Thunder (daughter of Black Lightning) into joining the team. He also decided to accept Indigo as a member.",DC Comics,DC Comics,Correct,413
"Sam Sterns was once little more than a slow-witted laborer who had never even completed high school. As an adult, Sterns found employment working the night shift at a chemical research plant. One evening, he was moving canisters of waste material when one of the containers cracked open bathing him in gamma radiation. Sterns survived what would normally be a lethal dose of radiation, but not without cost. Initially however, the side-effects seemed completely beneficial. Sterns discovered that his intellect had increased a thousand-fold, and he retained information with the accuracy of a computer. He began reading voraciously, accumulating as much knowledge as he possibly could. Before long however, his gamma-irradiated body continued to mutate. His skin turned permanently green, and his cranium increased in size.Abandoning his true human name, Sterns instead began to refer to himself as the Leader. Over the course of a year, he used his heightened intellect to become a criminal mastermind, and he developed an extensive spy ring with plans of taking control of the United States government. His efforts soon earned him the attention of another gamma-spawned mutation, physicist Bruce Banner, also known as the Incredible Hulk.",Marvel Comics,Marvel Comics,Correct,193
"After a virus deactivated the cyborgs (see also: The OMAC Project), Tim, the Shadowpact and the Veteran's team captured the metahumans. With Blüdhaven safe, Wonder Girl arrived on the scene asking Robin for help. Along with the Teen Titans, the Doom Patrol and the Justice Society of America, he battled against Superboy-Prime, who had violently assaulted their world's Superboy. The fight overwhelmed Conner's body to the point where it began eating away at itself for energy. After Robin's departure from Blüdhaven, the city was destroyed by the Society. Although he worried about his stepmother, his ""uncle"" and Nightwing, Tim continued to Titans Tower. He then led a successful assault on one of Lex Luthor's genetic research bases to find a cure for Superboy. With Blüdhaven still in chaos, Superman left Robin in command of all the superhero rescue efforts. But when the government put the city on complete lock down, the Titans were kicked out. Following the discovery of Superboy's death at the North Pole, Robin joined the rest of the world's heroes in a final battle against the Society in Metropolis. Although the heroes won the battle, many on both sides were injured and killed.   After the Infinite Crisis ended, Bruce Wayne, Dick Grayson, and Tim Drake went on a trip to retrace Bruce Wayne's original journey around the world in his quest to become Batman. At a ceremony honoring Superboy one year after his death, Robin attended in a new costume made up primarily red and black. When asked why by Jimmy Olsen), he explained that they were the colors of Conner's costume.   When Batman and Robin return to Gotham, they work better together and start a crime-purge. Having trained together, they are able to wipe out major super-crime in a month. Bruce informs Tim that since his parents died he has decided to adopt him, and Tim joyously accepts. Robin is framed for murder when Lynx turns up dead in a Batgirl suit and Cassandra Cain goes missing. He is forced to break David Cain out of prison for the ransom, but it turns out Cassandra is responsible. Cassandra has turned evil and taken over the League of Assassins, now wanting Tim to fight at her side. He refuses and barely escapes alive. It's shown that Tim leads the new Teen Titans, and he tries to put the team back together with Cyborg. When Wonder Girl learns he is trying to clone the dead Superboy, they share a grief-stricken kiss.   When Robin goes undercover to stop a crew of kidnappers, the wannabe super-hero Dodge interferes and is put into a coma.",DC Comics,DC Comics,Correct,434
"It is decided that, even though he is not a mutant, he will stay on the team, because Scott fears him running around unchecked with Phoenix-like powers.  Ink befriended Graymalkin, both of whom are new to the XMen family. Ink asked about Cipher, but Cipher, who was eaves-dropping, bursts in and stops the conversation. Shortly after this, when Danielle Moonstar found Dust dead, Ink attempted to use his untested Phoenix Force tattoo to revive her. Dust was revived, though the strain left Ink catatonic.",Marvel Comics,Marvel Comics,Correct,84
