hist_text_classic,true_label,predicted_label,result,n_words
"early life n'jadaka father press work villain klaw . klaw flee country n'jadaka family exile t'challa , king wakanda . end harlem , new york , develop hatred klaw wakandan king . n'jadaka change erik killmonger , dedicate life avenge father death . believe weakness t'chaka key factor allow parent kill . n'jadaka educate united states , gain phd engineering mba m.i.t . return wakanda contact t'challa repatriate killmonger wakanda . feign try king . killmonger settle village later change n'jadaka village honor . killmonger dedicate time overthrow t'challa government . killmonger ravage village attract black panther attention . confront t'challa , killmonger dismiss african prince , have t'challa fight leopard preyy . t'challa stop leopard snap jaw , killmonger attack , throw waterfall . t'challa survive fall battle killmonger venomm . killmonger team sombre king cadaver battle t'challa . force fight white gorilla . fight t'challa able kill sombre . death sombre killmonger team salamander k'ruel . fight appear t'challa kill killmonger . iron man mandarin claim killmonger body able restore life ring . wakanda , warehouse contain stark industry energy hologram crystallography equipment destroy . tony stark arrive wakanda investigate , madame slay kidnap rhodey killmonger man apparently kill black panther . reality , , killmonger actually kill lmd . black panther "" funeral "" killmonger appear , take black panther mantle . iron man black panther proceed plan , life - model decoy draw villain . sneak t'challa palace madame slay inform wakanda killmonger return death . battle ensue hero gain upper hand madame slay reveal rhodey captive . iron man life sensor find rhodey great mound , cyclotron set . pound vibranium gigawatt baryon beam , turn anti - metal , dissolve metal europe , asia , africa potentially . iron man disable machine save rhodey . black panther defeat killmonger mandarin recall ring , killmonger revert inanimate skeleton .",Marvel Comics,Marvel Comics,Correct,314
"vic stone son pair scientist decide use test subject intelligence enhancement project . , victor grow resent treatment fall young miscreant name ron ever lead trouble law . beginning struggle victor strove life engage pursuit parent disapprove athletic . addition , victor keep bad company lead incident talk participate street gang fight wound . , victor largely normal life circumstance refuse follow good friend grandiose plan racially motivated terrorism .   change day visit parent work s.t.a.r . labs . coincidentally , experiment dimensional travel go horribly awry massive gelatinous monster cross experimental portal kill victor mother . creature turn victor severely mutilate father manage force creature portal . save son , victor father outfit experimental prosthesis design . , equipment wear inconspicously , victor horrified body , include face , replace sheer metallic limb implant . victor want die shock , adjust result physical therapy control implant suitable skill .   release medical care , find life seriously inconvenience fearful reaction public implant ; girlfriend reject . addition , disallow participation athletic implant poor grade exacerbate long convalescence . , old friend attempt use victor trouble manipulate attempt terrorist attack united nations , victor find new purpose equip weapon attachment stop friend pitch battle un building .    join teen titan , initially benefit support group kindre spirit freak remain group . addition , victor find new friend see past disfigurement nobility group child adjust prosthesis idolize victor fancy part exciting adventure beautiful therapist take shine .",DC Comics,DC Comics,Correct,245
"version hulk find ally apocalypse ( en sabah nur ) , hulk war : horseman . last war injure rick jones , hulk guilt reject apocalypse programming . devastating loss surly version hulk remain state , change later hulk fragment - merged , banner hulk split time existence . maestro return absorb radiation - form body suffer previous defeat hulk , beat . reestablish connection wife , betty , leave broken man death radiation poisoning . banner blame , believe betty prolong exposure cause death , discover abomination inject radioactive blood . hulk later bludgeon archenemy bloody pulp , nearly kill . planet hulk event m - day , banner seek refuge peace alaska , live hermit loosely connect town community . eventually track nick fury s.h.i.e.l.d . , require help defeat hydra space weapon call godseye detonate nuclear bomb world . send hulk , discover godseye actually rogue s.h.i.e.l.d . weapon match strength enemy . ensue battle , godseye find try , match increase power hulk , explode . s.h.i.e.l.d . commission space shuttle send retrieve hulk , believe . seize opportunity rid hulk , group superhero know illuminati decide jettison shuttle space , planet intelligent life form . unfortunately , navigation error , hulk land sakaar , place barbarian tribe , gladiator battle rule corrupt empire . planet situate near portal , give access different culture technology . trip vulnerable , long subjugate red king . hulk force fight , eventually bring peace savage planet.file : acotilletta2 - -wwhulk.jpg hulk proclaim green king , sakaar worship queen , caiera . tell king bear child , hulk life run fighting .",Marvel Comics,Marvel Comics,Correct,272
"nergal powerful god - turn demon john constantine dangerous enemy . father rosacarnis leader damnation army . 1979 , nergal summon constantine attempt rid young astra logue demon norfulthing . , john botch exorcism , cause nergal astra damn hell .",DC Comics,DC Comics,Correct,41
"monet st . croix sister marius , claudette , nicole st . croix . brother marius , later mutant emplate , manifest power , conceited monet verbally abuse . enraged emplate transform body harden , spiked , red state leave mute . tell "" consider penance . "" claudette nicole , realize dangerous brother , banish pocket dimension , manage bring monet , take penance . nicole claudette , know monet parent ' favorite , decide merge body appearance monet .   shortly formation mutant teen team generation x , penance drop lawn massachusetts academy gateway , reveal identity penance . bring inside headmaster banshee , discover power cut hand try pick . penance speak , understand english ( apparently ) , immunity telepath , banshee place infirmary banshee emma frost attempt discover identity . teen member m , relation penance unknown , tell adult penance prisoner emplate , parasitic mutant feed mutant group encounter previously .   team leave , penance awaken thought mind : survival . tear apart ( mind ) cell escaping , free . hear alarm breach , team rush infirmary stare extensive damage cause escape . team split find cause damage academy . team member chamber , feel kindre spirit mutilated body , leave group search . feel deform soul seek , wait arrival . penance fight way past rest team ( husk , synch , jubilee , m ) , approach chamber , talk telepathically attempt convince know feel eventually calm girl stay team .   stay academy , rarely interact peer , animalistic nature fright capture . fortunately , time feral mutant wolverine , jubilee friend . trust friend , penance begin mission , generation x # 8 .",Marvel Comics,Marvel Comics,Correct,283
"channel positive energy , blackwulf able slice godstalker ribbon , exist . , godstalker believe lucian claim tantalus ' son , decree duty destroy tantalus . say , godstalker bond shadowlance , make powerful . , result bonding process , blackwulf cure black legacy , remove birthmark .    lucian learn s.h.i.e.l.d . database hold underground legion deathlok , cyborg alternate reality , come world pelop alive , tantalus convert good . lucian determine seek deathlok learn reality .    lucian catch deathlok series underground tunnel assist homeless people sewer king alongside daredevil , lucian aside question aid homeless bomb plant walter jenkins . lucian save deathlok slay bomb , annoy cyborg . finally able ask question , lucian tell man tell lucian change thing world , fate seal . lucian ask deathlok join underground legion , deathlok reply sort use .    apparently bring armechadon khult , blackwulf join underground battle tantalus peacekeeper , find reunite mother , nirvana . wish end suffering , matter cost , blackwulf absorb black legacy surround , regain birthmark set life free . blackwulf attack father , recall instruction khult , focus positive energy . blackwulf absorb father black legacy , result temporarily displace father ego . , result , lucian transform skin ebon black .",Marvel Comics,Marvel Comics,Correct,210
"arsenal later come conflict vandal savage . savage discover roy harper daughter lian descendant , , organ suitable harvest prolong life .   arsenal able save daughter savage . ordeal , adopt new look reflect navajo heritage . shortly , original titan decide form incarnation team . arsenal serve - time member team , choose reside new titans tower daughter , lian . hire rise wilson lian nanny , attempt adult relationship donna troy , break clear troy deal identity crisis . arsenal , point establish reputation "" lady ' man , "" go philandering way .   roughly time , oliver queen reappear , having resurrect early hal jordan ( identity parallax ) . queen sort issue , harper relationship resume . mysterious conglomerate know optitron offer sponsor titan young justice , member team encounter cybernetic girl future ( know indigo ) complex . android attack team disable nearly half group . member team track indigo , instead encounter rogue superman robot indigo reactivate . superman robot quick work lilith , kill snap neck , kill donna troy heat vision blast chest . indigo return shut superman android , rest titans young justice leave mourn fall friend . , titan part way .   arsenal take opportunity accept optitron offer form new team : outsider . harper conceive team professional proactive , "" family "" connection doom incarnation titan . begin buy massive secret underground headquarters beneath new york city . roy outfit shelter state - - - art equipment begin recruit member new team . successfully coax veteran metamorpho , grace ( superhuman bouncer harper physical relationship ) thunder ( daughter black lightning ) join team . decide accept indigo member .",DC Comics,DC Comics,Correct,281
"sam stern little slow - witte laborer complete high school . adult , stern find employment work night shift chemical research plant . evening , move canister waste material container crack open bathe gamma radiation . stern survive normally lethal dose radiation , cost . initially , - effect completely beneficial . stern discover intellect increase thousand - fold , retain information accuracy computer . begin read voraciously , accumulate knowledge possibly . long , gamma - irradiate body continue mutate . skin turn permanently green , cranium increase size.abandone true human , stern instead begin refer leader . course year , heighten intellect criminal mastermind , develop extensive spy ring plan take control united states government . effort soon earn attention gamma - spawn mutation , physicist bruce banner , know incredible hulk .",Marvel Comics,Marvel Comics,Correct,135
"virus deactivate cyborgs ( : omac project ) , tim , shadowpact veteran team capture metahuman . blüdhaven safe , wonder girl arrive scene ask robin help . teen titan , doom patrol justice society america , battle superboy - prime , violently assault world superboy . fight overwhelm conner body point begin eat away energy . robin departure blüdhaven , city destroy society . worry stepmother , "" uncle "" nightwing , tim continue titans tower . lead successful assault lex luthor genetic research basis find cure superboy . blüdhaven chaos , superman leave robin command superhero rescue effort . government city complete lock , titan kick . follow discovery superboy death north pole , robin join rest world hero final battle society metropolis . hero win battle , side injure kill .    infinite crisis end , bruce wayne , dick grayson , tim drake go trip retrace bruce wayne original journey world quest batman . ceremony honor superboy year death , robin attend new costume primarily red black . ask jimmy olsen ) , explain color conner costume .    batman robin return gotham , work well start crime - purge . having train , able wipe major super - crime month . bruce informs tim parent die decide adopt , tim joyously accept . robin frame murder lynx turn dead batgirl suit cassandra cain go missing . force break david cain prison ransom , turn cassandra responsible . cassandra turn evil take league assassin , want tim fight . refuse barely escape alive . show tim lead new teen titan , try team cyborg . wonder girl learn try clone dead superboy , share grief - stricken kiss .    robin go undercover stop crew kidnapper , wannabe super - hero dodge interfere coma .",DC Comics,DC Comics,Correct,296
"decide , mutant , stay team , scott fear run unchecked phoenix - like power .   ink befriended graymalkin , new xmen family . ink ask cipher , cipher , eave - dropping , burst stop conversation . shortly , danielle moonstar find dust dead , ink attempt use untested phoenix force tattoo revive . dust revive , strain leave ink catatonic .",Marvel Comics,Marvel Comics,Correct,63
"flash push zoom time , show zoom confronting past future . return present , flash toss device build sever barry connection speed force . effect zoom . bind tightly imprison iron height . cell , hunter zolomon speak , say help well .    zoom free time later captain boomerang , resurrect black lantern look answer . zoom , , tell know promptly run away .. proceed travel time point 25th century , kill numerous people past mold history .   hope harness power darkseid omega energy , zoom track bruce wayne timestream . briefly run time master , look wayne .   thawne begin experiment effect speed force age . murder elongate kid , airman jay nicolosi , young girl playground age expire old age . adjust age appear young boy hide shipping container near second crime scene , discover police . bring police station interview witness , refuse open visit police scientist patty spivot . eat lunch patty , tell go nap . return lab continue work case . busy work , thawne return proper age reveal . reveal experimental nature murder patty kill flash , kid flash , hot pursuit arrive . hot pursuit begin use equipment sever zoom connection speed force , zoom overpower . carry hot pursuit away , soon realize barry allen alternate earth . relish chance kill barry allen , zoom accelerate hot pursuit age process , recent victim , kill second . brief scuffle flash kid flash , zoom disappear crowd , hide age old man . later , professor zoom say , "" change , change . "" lightning bolt strike sky , lead directly flashpoint event , begin .",DC Comics,DC Comics,Correct,276
"decide stay future work legion , give flight ring . call time future vacation , admit feel lonesome . future , go superman museum see die : "" great battle history , supergirl kill stop bad threat earth know , give life adopt planet . "" interrupt arrival satan girl , orignally statue brainiac 5 work , break free . brainy kara fight satan girl ; decide timestream , create shift satan girl free . brainy kara remember happen . supergirl decide time saturn girl , lightning lad , cosmic boy , brainiac 5 bring supergirl present , share kiss brainy , tell visit soon . die mind - wipe saturn girl suddenly supergirl happy year , mission bizarro world adventure future thought occupy . fly , brainy promise warn kara future will die like history book ...    supergirl cat grant arkham asylum confront toyman try find child believe kidnap . doll cat receive base miss child place toyman attack . reveal toyman kidnapping . wait emergency room cat supergirl talk cat state believe supergirl make bad situation bad . supergirl realize listen fly fight riot . cat attack claw - wield doll - like creature . stun - gun , cat able subdue attacker turn miss child turn half cyborg . dollmaker arrive apartment miss child , cyborgs . lois go s.t.a.r . lab confront sister .   dollmaker kidnap cat tell toymaker son reject want cat mommy . supergirl fly metropolis try find information dollmaker . lois tell lucy long sister monster .",DC Comics,DC Comics,Correct,254
"sif beautiful warrior - goddess asgardian pantheon . heimdall , brother , sentinel asgard rainbow bridge , connect asgard midgard ( earth ) . sif child , possess long golden hair . play young thor , odin son , loki , thor adopt brother . sif thor fall love young . jealous , loki cut sif golden hair asleep .    guess loki sif loss hair , thor angrily demand loki restore golden lock . scared loki contact dwarfish craftsman , brokk eitri ( later create thor hammer mjolnir ) , ask create new hair sif . loki unable , unwilling , pay dwarfs gold create golden hair . dwarf decide "" price naught "" "" strand naught . "" dwarf create magical strand hair blackness night . strand darkness take root moment place sif head , begin grow . thor find sif new black tress attractive , disrupt loki plan ruin relationship.[1 ]    time , thor sif fall . year later , thor begin career super hero earth , long - time love affair mortal jane foster . , , odin arrange thor meet adult warrior - goddess , sif . close companion fall love . promise someday marry .    unfortunately , thor feeling responsibility earth people come lover . past , sif try adjust live mundane earth . unfortunately , sif prefer majesty asgard .    point , thor mortal lover , jane foster , die , sif merge life force foster , revive die woman . sif partially try understand thor attraction mortal , especially jane foster . soon afterward , foster separate sif , foster exile limbo - realm call runestaff possessor . sif thor eventually rescue jane foster reunite mortal love , keith kincaid .    thor sif later come aid alien champion , beta ray bill , guardian large space fleet carry survive member alien race suspend animation . sif , beta ray bill , thor drive horde surtur demon attack bill fleet .",Marvel Comics,Marvel Comics,Correct,327
"apparently shatterstar body merge russell , result body bear starburst pattern shatterstar left eye hair lengthen greatly . restore health consciousness , feel "" "" time life , shatterstar resume work member x - force .   , explain shatterstar benjamin russell memory merge , look alike . mystery explain shatterstar origin . hint shatterstar child longshot mutant xman dazzler . dazzler reveal pregnant longshot child longshot suggest "" shatterstar "" unborn child . longshot dazzler return mojoworld free longshot people dazzler later appear longshot child . speculate dazzler miscarry , establish officially infant .   shatterstar accompany rictor richter home mexico try end rictor family arm - deal business . character appear separately assume succeed , know later part .   shatterstar later see madripoor , earn money fight arena . seek spiral agent shatterstar believe want kill . fake quest , spiral lure shatterstar alternate universe conquer rule . earth , spiral kill world hero mutant . earth shatterstar kill . find earth rebel force , include cable member know x - force . , eventually defeat spiral . return mainstream earth , shatterstar contact cable request temporarily join mission defeat skornn[6 ] . shatterstar agree , cable want train monk mount xixabangma . monk kill skornn worshiper , shatterstar reunite old team eventually kill skornn .",Marvel Comics,Marvel Comics,Correct,216
infinity man combine form forever people .,DC Comics,Marvel Comics,Incorrect,7
"red robin vigilante member batman family . robin young age , succeed jason todd batman sidekick . eventually outgrow position begin wear costume red robin replace damian wayne . origin timothy drake , young boy , attendance circus night fly grayson murder . year later , see footage batman robin apprehend penguin , lad deeply impressed robin perform quadruple somersault ( rare maneuver dick grayson perform ) . tim eventually learn grayson bruce wayne ward ( impressively ) deduce wayne batman , grayson , robin . tim follow adventure dynamic duo time , new hero , nightwing , appear tim rightly deduce dick grayson strike assume new identity . result , tim begin consider approach bruce wayne hope convince batman need robin , assume mantle .   batman , eat grief death jason todd ( hand joker ) , reckless dangerous , convince tim strongly "" replacement "" robin need , finally drive action . tim ( like soon - - mentor , batman ) act rashly impulsively , instead opt wait optimum time arrive .   chance come learn nightwing leave titan short time order find . tim follow dick convince batman need help . grayson take tim batcave leave , nightwing , help batman deal vile - face . alfre ( helpful ) insinuate tim bring batcave help batman new robin . clayface loose , tim alfred worried safety batman nightwing , go help .   tim don costume robin help alfred pennyworth , manage rescue . batman accept tim new robin trial basis . train month , alfred , batman , , finally , nightwing .   obeah man capture tim parent trip caribbean . janet die result conflict , jack leave paralysis , despite batman help . require care nurse / physical therapist , dana winter .",DC Comics,DC Comics,Correct,297
"roberto velasquez talented boxer , spar friend manuel torre trini gym , size , future boxer uncertain . approach armando avile , promise strong fast , drug . roberto agree , subject power broker treatment florida dr . karl malus . roberto match , face normal boxer , emilio garzon . mean , roberto kill ring . roberto horrified , run avile , refuse box anymore .   manuel subsequently match rico lazar , augmented boxer . bring roberto hiding try save friend , avile opportunity roberto chance crime ring . roberto refuse , shoot avile . think dead , avile man seal coffin , shoot hole , toss swamp .   roberto survive , swam safety . decide "" death "" grant anonymity , break sporting good store own avile , don boxing gear , take alia "" bantam . "" go avile , fight , avile accidentally shoot dead man . bantam flee scene murder .   roberto go check manuel , horrified learn dead , throw window lazar . bantam , set lazar , find site malus augment . defeat lazar ally , go berzerker rage , attack captain america . cool , join captain america chase lazar , bantam defeat battle .   bantam go trini gym work find trini , guess roberto bantam . offer roberto career boxer , roberto turn , know strength dangerous . trini ask trainer , bantam respond think .   later , bantam come gang fight , convince side stand . convince gang member settle frustration trini gym , ultimately accept trini offer trainer .   bantam split time super heroic train boxer trini gymnasium san juan . powerful step ring .   super - hero registration act pass , bantam choose register . come l.a .",Marvel Comics,Marvel Comics,Correct,290
"thing quickly begin fall apart , flicker try green lantern bay train weapon star sapphire . aa spoil flicker shot , save carol life . retrieve unconscious body , lantern fly away oppose armada . loyal kworri confident hal select join new corps , turn , hal decide moment meet aa woman want . appreciate aa ideal persistently question authority ; attitude altogether different hal jordan",DC Comics,DC Comics,Correct,66
"bear small town malden , essex , brian graduate student physic , advance year , england thame university . work mentor dr travis darkmoor research centre holiday , present mercenary reaver man raid facility kidnap scientist . escape intention help , brian flee motorbike , run road .   bleed death , brian approach merlin daughter roma , tell live britain great champion . offer brian choice : amulet right ( life ) sword ( death ) . scholar conceive warrior , brian choose amulet .   captain britain , complete costume super - power , staff , later replace merlin ' star sceptre ' enable fly . moment later , reaver arrive , claim sword , transform armoured knight tremendous strength . captain britain nonetheless defeat , meet challenge hero courage surprising skill .    month , brian battle foe vixen , hurricane , mastermind computer , lord hawk , doctor claw , dr . synne , highwayman , basil crushstone aka manipulator , lurker loch ness , nykonn , black baron assassin slaymaster team captain america red skull . activity popular public , consider vigilante police , particular chief inspector dai thomas , dedicate capture unmask captain britain . thomas subordinate , detective inspector kate fraser , sympathetic novice hero .    eventually , brian come america study abroad program . strange twist fate , end room peter parker empire state university . parker secret identity , spiderman , battle assassin arcade , begin meet nightly patrol training ; peter quickly deduce english roommate new english hero town , brian remain unaware spiderman roommate . brian begin drink heavily , affect performance student hero , soon stop inadvertently inflict injury opponent fight inebriated state .    return britain , brian subject psychic attack travel plane english channel .",Marvel Comics,Marvel Comics,Correct,295
"darren cross protégé hank pym usurp mentor ceo pym technology rebrande cross technology . obsession pym creation pym particle cause try replicate version , intend sell terrorist organization hydra ring . version pym antman suit , know yellowjacket suit , try fulfill transaction , challenge pym hope van dyne , destroy research assistance scott lang . drive mad failure , cross try murder lang family eventually disappear battle .",Marvel Comics,Marvel Comics,Correct,69
"sandra wu - san lady shiva , know possibly world great martial artist . ruthless villain heroic vigilante . motivation base purely interest . lead mentor fighter",DC Comics,DC Comics,Correct,27
